(-41.05654307603899, 67.96050091543478)
(90.16776924115965, 64.95646884613205)
(104.21533081417357, 63.522238679962555)
(11.518840457049066, 49.75295325446049)
(74.51271783600964, 67.40645679773496)
(5.846303233598803, 17.47703013149149)
(75.23696560552793, 57.88643858040834)
(144.7671015680594, 64.5827184445084)
(-102.16054729044609, 22.954426263716925)
(167.7014117690427, 68.50484316451448)
(-8.314038965624832, 15.908703256385252)
(127.20399182619508, 68.32094430524663)
(-75.10722698490123, -11.062253056565936)
(80.15586324448151, 12.846516114532733)
(102.14657853518935, 33.958798724767064)
(28.151248162893353, 63.31683964194082)
(79.30252425366967, 55.94443618216502)
(120.39898903194239, 40.46110853497015)
(18.354130992541116, 17.843907498895476)
(99.41797132158501, 1.6051495512391512)
(142.10598459061475, 71.91686640104402)
(157.63360865055517, 61.92068054943098)
(16.21294446420285, -21.390427647087066)
(110.68184665570146, 70.5596689534751)
(89.21735730218353, 34.40957315723381)
(71.41062154281207, 43.13875656045019)
(99.03847200030992, 16.075429984726384)
(-116.12899930286129, 67.63393127566832)
(127.04443359088077, 40.39672415704885)
(125.70211552173771, 71.40026232368803)
(108.05895277275647, 55.51309217513639)
(117.81166302078941, -30.349186936173382)
(-126.3682239633446, 60.619227892687036)
(-102.39773467298357, 59.06430452316357)
(-86.81126064350403, 81.77047209906888)
(52.70873482968523, 63.733537355834784)
(-94.64348197153748, 41.476882585907106)
(117.23646149551087, 62.88510283896446)
(-84.41846849732721, 81.43556087592901)
(19.698125397867926, 17.790177732483016)
(40.349018880501774, 20.255901077484765)
(108.01891087834701, 44.32139435145427)
(58.47369703288973, 38.4115443909609)
(59.11870316006363, 61.30679326441981)
(5.765746072418409, 33.960027329725975)
(30.218124109699488, 31.001913387438563)
(-44.479330199746244, 75.62765727193411)
(-44.2881847693526, 81.18371764138723)
(38.92516859441531, 56.12852511385262)
(42.81587721614332, 12.002006567419215)
(83.142638084564, 31.85410463033209)
(18.404181622598117, 5.14021482495852)
(-58.64889498633252, -37.14458716608455)
(-112.71123673863664, 71.26515424584966)
(-0.6946003372894438, 38.38227928299159)
(104.46610110217125, 73.27199181580545)
(-1.6172195143466297, 19.17831825384438)
(73.13456111852938, 47.07206555736883)
(36.1074172780622, 21.23141564353891)
(-109.32736406611717, 66.89717453679924)
(170.77936356378962, 62.75213302542616)
(114.9224572988972, 72.36019709279788)
(5.689307384241317, 13.835264509600435)
(116.08835686730828, -0.06265710164768734)
(18.716461015008065, 27.226127557475905)
(92.84447054362374, 67.03221489756729)
(76.67001521732982, 37.936260367118365)
(97.46988577308485, 59.103862678579446)
(52.580785257146886, 48.19265099832842)
(-104.68987571665522, 31.774911613791218)
(-110.870866000333, 51.219557984661265)
(114.19966131789869, 43.40558033808034)
(105.97242290438498, 59.852801929593)
(12.522940404621437, -0.7591158111930554)
(-40.20581728260231, -15.9219813561877)
(-65.90120996457996, -47.33247240173404)
(-108.16510225978934, 38.237165931921965)
(114.5676411742175, 37.02112295115886)
(44.397407749951356, 63.40176323591999)
(62.033374043591095, 40.67375866340677)
(-39.32399668175134, -5.771871760502947)
(70.51527345378418, 35.713119075751706)
(-68.49283095852505, -9.538818789481027)
(-35.51995279623969, 70.1737808085274)
(-4.8465849360351, 20.673638099820224)
(-110.93276335885868, 50.0372624611683)
(-159.06639733172915, 56.24937378440575)
(-54.890480581549795, 71.73937063616802)
(-71.9009076747889, -53.042013613753674)
(123.6736592615635, 48.45177742245639)
(-85.93718858410237, 66.33985328556705)
(109.44522660928988, 25.23021546698959)
(124.7945157971613, -24.355364768373704)
(14.530338260741729, 61.30063947635975)
(42.70702562049766, 60.808858566763405)
(171.6694354757836, 69.62027839957724)
(-115.72142124084033, 60.72429886019199)
(48.84915411489871, 41.24722140583509)
(-65.84673573386323, -42.86499830292692)
(165.01490395668122, 66.69540893690797)
(74.75584078380263, 23.030427085095724)
(101.61693031725935, 23.71784700944734)
(-64.76863163400243, -33.808078248669126)
(116.40653860265337, 56.923768564946386)
(65.91124954511434, 55.55827832888133)
(112.19726712901985, 22.8281584749611)
(-3.3587680950330707, 37.86161679581977)
(-97.98633020836813, 37.876937831850654)
(18.11122467795778, -23.49459858463679)
(54.368364963285615, 66.57087915987302)
(-72.80117708419034, 7.001135982766286)
(45.319335989111835, 34.09831034030775)
(-9.114323312344084, 27.498265036134626)
(-46.394681423499804, 63.21667421697927)
(63.26202782016426, 60.70547728928665)
(-14.466547985991241, 23.170596974741756)
(-54.34438795236329, -30.489989667377806)
(122.39455973510411, 65.38264954020576)
(-117.38292418562165, 68.36455552169929)
(-4.593989143091676, 11.826809463085851)
(116.012082934033, -23.599346038671186)
(-67.8323588163162, 54.484799132419994)
(90.53888472940713, 28.85042513647352)
(-102.32428366664985, 35.677657194424)
(22.62139171015798, 67.95192440351113)
(95.8026523676827, 21.2641806831941)
(137.60085123239185, 64.2027324083667)
(-51.17663005015402, -12.390017913020642)
(44.505932920175894, 3.627043699235827)
(-61.648407920213046, 4.875279698108756)
(-109.0592839549374, 51.92952296213642)
(-72.29298291173266, 8.577426796572581)
(-64.61858511333381, 57.10682057373879)
(160.79837941759695, 61.85758221833581)
(21.026891708325593, 3.4791295783302587)
(113.14149553989967, 26.801180666015085)
(102.14980826658314, -1.5983292544740095)
(-42.816830000186144, -6.290719661957169)
(64.48816381583961, 28.698827377735583)
(118.2102479779042, 60.112153088267405)
(-52.745982359719505, 2.5015860450890983)
(-66.83835703165039, -6.373801690252648)
(-117.94809970265129, 60.87775972363514)
(22.889526945434028, 12.930184414782957)
(71.4867559782625, 53.168273930449175)
(-8.83578900033055, 6.3570472946616405)
(49.82242136849712, 32.31367545054346)
(124.5252744433975, -20.2815447931371)
(55.0482002170838, 65.46107707077238)
(-63.285369553861756, -34.097163025899256)
(-111.19586193477448, 75.45201984841643)
(-81.32660753209228, 75.27917772388511)
(-108.50815414861238, 46.73777357696622)
(67.37014690854059, 56.82469289956228)
(5.533184208737424, 4.972731734802153)
(116.27523099201682, 5.487360458152423)
(103.33345970154, 2.8005255065464354)
(92.52525699354146, 25.578879677054644)
(78.74257885743316, 53.48074406131653)
(-1.317454676905669, 18.698347129631046)
(17.741259458890653, -13.568730962166327)
(-113.76935030799665, 71.38826420831785)
(-102.30933916140539, 64.78621344101833)
(114.39145235407238, 32.047688178549805)
(36.707296334444806, -18.08690386740912)
(133.9525691382011, -12.271933834950161)
(39.98760212186946, 29.128220319001116)
(-118.38338387651004, 66.64494392946526)
(15.565996395142804, 79.27924315194755)
(-68.563108101304, -23.963883519939998)
(97.80688006208374, 42.907862813322)
(108.36801411578188, 28.581232077148442)
(71.87117781740369, 50.73587489263571)
(115.25876731539819, 5.142658042184735)
(32.18968032135203, 58.67419187328966)
(93.4774236049148, 44.81898422487615)
(12.360981597056679, 47.460235259894745)
(129.12549922320824, 47.26662144172781)
(-103.04694021145542, 51.993220816226824)
(25.148733832505968, 8.406064884900289)
(21.715745929167014, -17.253811212004507)
(83.10760934799765, 20.19494357459932)
(52.542922179101055, 48.29119194491872)
(-79.84786668041183, -2.4133005624525907)
(-88.43269022661218, 75.15440947104932)
(-45.82846363204686, 60.80203571692624)
(-76.6388398673806, 81.0116848791532)
(33.22770923931856, 9.592592602865906)
(60.35300440673919, 61.82782655069843)
(-77.01074783848429, 71.87443793328521)
(-166.1260983261508, 65.98785530850293)
(130.91116505760175, 60.212723813149836)
(15.509380484890272, 77.3160083164621)
(28.381979858978156, 11.802314281677937)
(60.632631258847766, 48.09022990154932)
(52.640490134652225, 31.2471480123356)
